"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.87794673385263/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0xb32df5ea0db7ebe570b42ac6164f17c3c3b8cf10ac793440a95df10a2c617bcf","55305306","1711932314","2024-04-01 00:45:14","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.02194812","0.0192692802682056","0.95","","","Mint With Token URI"
"0xb27033715253e76f33063749437d156f6166f47ce01c8c41f7983a120f5d9729","55311882","1711948830","2024-04-01 05:20:30","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.018800936","0.0165062203545723","0.95","","","Mint With Token URI"
"0xf636d6474637d6992f36e33dc2913541c6c5f3ce93e13a441c92d0a6537c58fb","55313255","1711952070","2024-04-01 06:14:30","0x19ad9ebe1e1952990ca51f1a3089be7ece9e19f8","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.01157981386675594","0.0101664597629398","0.95","","","Set Approval For All"
"0x9e50208c96a902ee57173e54c894bfd72b5bd7eddd5e2486b7853b4eaf1d44d3","55313863","1711953538","2024-04-01 06:38:58","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.01561129","0.0137058810667262","0.95","","","Safe Transfer"
"0x506862d0fd64036b9013b1540199c7c9f9cc8ff71792f088f771e6c0edb43c4a","55318599","1711964729","2024-04-01 09:45:29","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.040482088","0.0355411169391347","0.95","","","Mint With Token URI"
"0xe524ab4655a056974617d1e5b7d0b1e6bcaefe6e0090d29bd7a6f88c9a712f54","55321922","1711972471","2024-04-01 11:54:31","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.030521","0.0267958122639161","0.95","","","Mint With Token URI"
"0x1b64792236dbec6ef94bd7335f2c3ab326a833281bb92a2b42094c24e2813f4b","55324372","1711978161","2024-04-01 13:29:21","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.05127528","0.0450169646033791","0.95","","","Mint With Token URI"
"0x6137be3b3be06c920f68dcb211c2651619e2a767af012ddd48cfaa95c84d068c","55325123","1711979875","2024-04-01 13:57:55","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.05608964","0.0492437162409698","0.95","","","Mint With Token URI"
"0xbc06ae918f1b2539f30666ee01cf46ca0d6a04607338c85018086618c1f99a03","55325554","1711980857","2024-04-01 14:14:17","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.051519448","0.0452313311014904","0.95","","","Mint With Token URI"
"0xad125ccbdd7faa73229d670ce226d09ad635795b0de01f7d3c88d44affcf40b5","55325627","1711981011","2024-04-01 14:16:51","0x30ff20cb4a783b5bb97d0af2e86d08c6b996d7d2","0x56850506399d2080cbef6fe7805a9681e904d558","","0","0","0","0.047856928","0.0420158336298205","0.95","","","Mint With Token URI"
